en,es
Give me a cup of coffee.,Deme una taza de café.
I lied to Tom.,Yo le mentí a Tom.
We were really tight.,Estábamos muy apretados.
"Somehow, he weaseled himself out of jury duty.","De alguna manera, se escaqueó de su deber como jurado."
Don't you want a bit more tea?,¿No quieres un poco más de té?
We still have a bit of work to do.,Todavía nos espera un poco de trabajo.
"I bought this dictionary, too.",Yo también compré este diccionario.
I can't believe Tom knows where Mary lives.,No puedo creer que Tom sepa dónde vive María.
She will arrive in Tokyo at the beginning of next month.,Llegará a Tokio a principios del mes que viene.
"I never wrote to her, despite the urge to do so.","Yo nunca le escribí a ella, a pesar de las ganas que tengo de hacerlo."
The doctor told him to give up smoking and drinking.,El médico le dijo que dejase de fumar y de beber.
Tom was starving to death.,Tom murió por inanición.
Hold my calls.,Retenga mis llamadas.
Don't go into the jungle alone.,No vaya a la jungla solo.
Will you do me the honor of dining with me?,¿Me harás el honor de cenar conmigo?
They went fishing.,Se fueron a pescar.
It was good fun.,Fue muy divertido.
I fell asleep quickly last night.,Anoche me dormí rápido.
Tom asked Mary to open the gate.,Tom le pidió a María que abra el portón.
Tom showed Mary something.,Tom le mostró algo a María.
Jump as high as you can.,Salta tan alto como puedas.
Don't be late for school again.,No llegues tarde a clase otra vez.
That path is impassable.,Ese sendero es intransitable.
Tom and Mary like to play badminton.,A Tom y a Mary les gusta jugar al bádminton.
I will accompany you.,Lo acompañaré.
Come and see me.,Ven a verme.
I thought Tom was lost.,Pensé que Tom estaba perdido.
The sun rose above the horizon.,El sol salió por encima del horizonte.
I don't know how to use a VCR.,Yo no sé cómo usar una videocasetera.
Tom speaks two foreign languages.,Tom habla dos lenguas extranjeras.
It is our obligation to help.,Es nuestra obligación ayudar.
I don't think I'll ever sound like a native speaker.,No creo que alguna vez llegue a sonar como un hablante nativo.
What time did you get here this morning?,¿A qué hora llegaste esta mañana?
May I sit down?,¿Me puedo sentar?
This park is famous for its roses.,El parque es reputado por sus rosas.
I think that you ought to apologize to her.,Creo que deberías pedirle perdón.
I quit.,Lo dejo.
He told me that I could use his car.,Él me dijo que podía usar su coche.
German is not only spoken in Germany.,El alemán no se habla sólo en Alemania.
I knew you were behind this.,Sabía que estaban detrás de esto.
Would you lend me your knife?,¿Puedes prestarme tu cuchillo?
You should notify the police at once.,Deberías informar a la policía inmediatamente.
Hold on to my arm.,Agárrate de mi brazo.
Today there are many things made of sheet metal.,Hoy hay muchos objetos hechos con lámina de metal.
Tom treats me like a child.,Tom me trata como a un niño.
I wish I earned more money.,Ojalá ganara más dinero.
Everyone seems optimistic.,Todos parecen ser optimistas.
Why don't the police arrest Tom?,¿Por qué la policía no detiene a Tom?
They are both very competent judges.,Ambos son unos jueces muy competentes.
Come with me to Boston.,Ven conmigo a Boston.
There used to be a bridge here.,Solía haber un puente aquí.
Tom survived the accident.,Tom sobrevivió al accidente.
There are a lot of earthquakes in Japan.,Hay muchos terremotos en Japón.
She urged him to drive carefully.,Ella lo instó a conducir con cuidado.
Why did you do it?,¿Por qué lo hiciste?
I don't know what's best for me.,No sé lo que es mejor para mí.
He is in trouble.,Él está en problemas.
I've been looking for you.,Te estaba buscando.
Please don't touch the exhibits.,"Por favor, no toque los objetos expuestos."
I think we ought to go back to Boston.,Creo que deberíamos volver a Boston.
Why take a chance?,¿Para qué correr el riesgo?
My cats love me.,Mis gatos me quieren.
What time do you usually turn in?,¿A qué hora sueles irte a la cama?
She had nothing else to drink.,Ella no tenía nada más para beber.
Tom died young.,Tom murió joven.
I want to go to the movies today.,Quiero ir al cine hoy.
You're the first woman that I've ever really loved.,Eres la primera mujer a la que he amado de verdad.
She substituted margarine for butter.,Ella reemplazó la margarina por manteca.
He weighs 10 kilograms more than I do.,Él pesa diez quilos más que yo.
Tom used to be demanding.,Tom era muy pedigüeño.
Tom separated the items into three piles.,Tom separó los artículos en tres montones.
Have they reached an agreement?,¿Han llegado a algún acuerdo?
They went fishing.,Se fueron de pesca.
Do you have any better ideas?,¿Tenés alguna idea mejor?
He couldn't speak French well.,Él no podía hablar bien francés.
That's the main thing.,Eso es lo principal.
You should've gone there by yourself.,Deberías haber ido solo.
We'll be home by sunset.,Estaremos en casa al ponerse el sol.
It's hard to achieve happiness.,Es difícil conseguir la felicidad.
Thanks for your understanding.,Gracias por vuestra comprensión.
Who's the girl I saw you talking to?,¿Quién es la chica a la que te vi hablando?
Do you know what it is?,¿Sabes qué es?
See what you can find.,Mire a ver qué puede encontrar.
Don't depend on your parents too much.,No dependas tanto de tus padres.
What kind of a parent would leave their child unattended in the car outside the pub while they're inside drinking?,"¿Qué tipo de padre dejaría a su hijo desatendido en el coche fuera del pub, mientras ellos están dentro bebiendo?"
I don't know what Tom will say.,No sé qué dirá Tom.
I've always wanted to visit Australia.,Siempre he querido visitar Australia.
We will let him try.,Le dejaremos intentar.
I wanted to be able to read minds.,Quería poder leer mentes.
Tom hasn't been to the supermarket in a long time.,Tom no ha ido al supermercado en mucho tiempo.
I hope no one sees me like this.,Espero que nadie me vea de esta guisa.
Tom is extremely sophisticated.,Tom es extremadamente sofisticado.
There is no scientific basis for these claims.,No hay un trasfondo científico para sostener estas posturas.
I think I'm going crazy.,Creo que me estoy volviendo loca.
I thought you said you didn't want to talk about it.,Pensé que habías dicho que no querías hablar al respecto.
Could you please come over here?,¿Podrías por favor venir aquí?
Would you like me to repeat the question?,¿Quieres que repita la pregunta?
They're with me.,Están conmigo.
Tom was so excited.,Tom estaba muy emocionado.
Tom can do it.,Tom puede hacerlo.
Please remind me to phone him tomorrow.,"Por favor, recordadme que le llame mañana."
Nobody likes rats.,A nadie le gustan las ratas.
Tom showed me a magic trick.,Tom me mostró un truco de magia.
I don't know what Tom thought.,No sé en qué pensó Tom.
Tom translated the contract into French.,Tomás tradujo el contrato al francés.
What's wrong with you?,¿A ti qué te pasa?
Tom seems to have a lot of fun trying to cause as much trouble as he can.,Tom parece divertirse mucho tratando de provocar tantos problemas como él pueda.
Are you ready to start?,¿Estás listo para partir?
I wake up at half past six in the morning.,Me despierto a las 6 y media de la madrugada.
The truck is gone.,El camión se ha ido.
I wanted to be just like you.,Yo quería ser igual que tú.
I don't feel like laughing.,No tengo ganas de reír.
I didn't tell them.,No se lo dije.
I will show you how to solve it.,Os mostraré cómo resolverlo.
She was brought up by him.,Ella fue criada por él.
A man is as old as he feels and a woman as old as she looks.,"Un hombre es tan viejo como se siente, y una mujer es tan vieja como aparenta."
Stop writing and hand your paper in.,Para de escribir y entrega tu hoja.
You're a dreamer.,Sos un soñador.
I can't do anything with this.,No puedo hacer nada con esto.
All the boys were looking at Tom.,Todos los muchachos estaban mirando a Tom.
I don't work anymore.,Ya no trabajo.
These pens are his.,Estos bolígrafos son suyos.
Tom will need help.,Tom va a necesitar ayuda.
How important is music in your life?,¿Cómo de importante es la música en tu vida?
I've never met a person that I've disliked immediately.,Nunca he conocido a una persona que me cayera mal directamente.
He is in charge of our class.,Él está a cargo de nuestra clase.
Tom said he was at home on the night of the murder.,Tom dijo que estaba en casa la noche del asesinato.
Why didn't you go?,¿Por qué no fuiste?
Put your room in order.,Ordena tu cuarto.
The gifts will delight the children.,Los regalos les van a encantar a los niños.
I count on your help.,Cuento con tu ayuda.
I fear we're too late.,Me temo que llegamos demasiado tarde.
How would you describe your relationship with Tom?,¿Cómo describirías tu relación con Tom?
My roommate is too talkative.,Mi compañero de habitación es demasiado hablador.
Do you prefer playing chess or checkers?,¿Qué prefieres: jugar al ajedrez o a las damas?
I don't like his jokes.,No me gustan sus chistes.
I know it's against the law to do what we just did.,Sé que lo que acabamos de hacer es contra la ley.
Lay it on the table.,Ponlo en la mesa.
"From a very young age, Jorge Luis Borges had serious problems with his vision.",Jorge Luis Borges a muy temprana edad tuvo graves problemas en la vista.
We've got to take care of it.,Nos tenemos que ocupar de eso.
He asked his wife if she was coming with him.,Le preguntó a su mujer si venía con él.
We kept quiet.,Nos quedamos en silencio.
Tom remembers.,Tomás se acuerda.
Our teacher is a real idiot.,Nuestra profesora es una verdadera idiota.
He abandoned his family.,Él abandonó a su familia.
Fold it.,Dóblalo.
He goes to school on foot.,Él va a la escuela caminando.
Tom helped Mary set the table.,Tom le ayudó a Mary a poner la mesa.
"Last year, there were more births than deaths.","El año pasado, hubo más nacimientos que defunciones."
This has never happened before.,Esto jamás ha ocurrido antes.
Just listen to me.,Escúchame y punto.
"I like grapes, but I can't eat too many of them.","Me gustan las uvas, pero no puedo comer demasiadas."
When do you usually get up?,¿A qué hora sueles levantarte?
I think you should wait.,Creo que deberías esperar.
The teacher made me repeat the sentence.,El profesor me hizo repetir la oración.
Have I called you at a bad time?,¿Te he llamado en mal momento?
We're smarter than that.,Somos más listos que eso.
I can't stand the thought of losing you forever.,No soporto la idea de perderte para siempre.
Tom is very likely to know what we should do.,Lo más probable es que Tom sepa lo que deberíamos hacer.
Don't change the channel.,No cambies de canal.
I got acquainted with him in France.,Lo he conocido en Francia.
From here to the train station takes about ten minutes.,Desde aquí a la estación de tren se tarda unos tres minutos.
It won't be the same without you.,No será lo mismo sin ti.
You are safe here with me.,Estás seguro aquí conmigo.
I locked the door.,He trancado la puerta.
That's the way I like it.,Así me gusta.
"You're angry with me, aren't you?","Estás enfadado conmigo, ¿no?"
Remove your coat and empty your pockets.,¡Quítate el abrigo y vacíate los bolsillos!
Tom is brain damaged.,Tom sufre de daño cerebral.
The baby is playing with some toys.,El bebé juega con algunos juguetes.
Tom makes delicious coffee.,Tom prepara un delicioso café.
My father likes tennis.,A mi padre le gusta el tenis.
He gave her a drug to make her relax.,Él le dio una medicina para que se relajara.
Does anyone want some more pie?,¿Alguien quiere un poco más de torta?
There's a hole in this sock.,Hay un agujero en este calcetín.
Tom hasn't been able to go to school for three weeks.,Tom no ha podido ir a la escuela por tres semanas.
Mary lost her husband.,Mary perdió a su marido.
The dog chased the squirrel.,El perro persiguó a la ardilla.
We're parents.,Somos padres.
It was a computer error.,Fue un error informático.
Does Tom know what you're doing?,¿Sabe Tom lo que estáis haciendo?
There aren't many options.,No hay muchas opciones.
You are actresses.,Ustedes son actrices.
The building has no fire exit.,El edificio no tiene salida de incendios.
It was very difficult.,Era dificilísimo.
What would you do in that situation?,¿Qué harías en esa situación?
Tom helped Mary start over again.,Tom ayudó a Mary a volver a comenzar.
I've got to head back to work.,Tengo que volver al trabajo.
Is she your mother?,¿Esa es tu madre?
Heavy snow prevented the train from departing.,La fuerte nevazón impidió que el tren partiera.
I hope Tom won't be disappointed.,Espero que Tom no se decepcione.
Walk along the street and turn left at the third intersection.,Siga recto la calle y gire a la izquierda en la tercera intersección.
Face facts!,¡Enfrentaos a los hechos!
I think it's amazing.,Creo que es increíble.
We found it in the house.,Lo encontramos en la casa.
I thought that you might want to know.,Pensé que a lo mejor querrías saber.
They seem to be in love with each other.,Ellos parecen estar enamorados.
He didn't reveal his secret.,No desveló su secreto.
He is allergic to dust.,Él es alérgico al polvo.
You need have a good microphone because we care about sound quality.,Necesitas un buen micrófono porque nos importa la calidad del sonido.
Finding an optimal solution will take some time.,Encontrar una solución óptima demorará un tiempo.
Tom likes me.,Tom me quiere.
Tom put a flea collar on his dog.,Tom le puso a su perro un collar para las pulgas.
You've got a nice smile.,Tienes una linda sonrisa.
Call up Tom right away.,Llama a Tom de inmediato.
I don't want to talk about the weather.,No quiero hablar del tiempo.
Tom died of a drug overdose.,Tom murió de una sobredosis de drogas.
I cry whenever I listen to this song.,"Cada vez que escucho esta canción, lloro."
It wouldn't be easy to do that.,No sería fácil hacer eso.
These are good.,Éstos están buenos.
Tom works at a bank.,Tom trabaja en un banco.
I felt exhausted when the game was over.,Me sentí exhausto en cuanto terminó el juego.
The prize will go to the best student.,El premio será para el mejor estudiante.
It is our turn to laugh.,Es nuestro turno de reír.
Tom likes Japanese food a lot.,A Tom le gusta mucho la comida japonesa.
Which way are you going?,¿En qué dirección va usted?
It's a happy thing.,Es algo feliz.
It looks perfect.,Se ve perfecto.
"If you get sleepy, just tell me.","Si te da sueño, solo dime."
Take me to your leader.,Llévenme con su líder.
Tom is his brother.,Tom es su hermano.
Here are the documents you asked for.,Aquí están los documentos que pedías.
A good idea occurred to him.,A él se le ocurrió una buena idea.
Sorry about your son.,Lo lamento por tu hijo.
Tom wants a pony.,Tom quiere un pony.
Tom couldn't see what Mary was doing.,Tom no podía ver lo que hacía Mary.
"First, I don't have any money. Second, I don't have the time.","Primero, no tengo nada de dinero. Segundo, no tengo tiempo."
Tom began to believe that he'd never be able to walk again.,Tom empezó a creer que nunca podría volver a andar.
They were both silent for a while.,Ambos permanecieron un rato en silencio.
Is Tom in Boston now?,¿Tom está en Boston ahora?
Tom tried to talk Mary into driving all night.,Tom trató de convencer a Mary de conducir la noche entera.
That's not enough.,Eso no es suficiente.
"I'm not sure, but Tom may come.","No estoy seguro, pero Tom puede que venga."
Spring has come.,Llegó la primavera.
My watch is five minutes fast.,Mi reloj está adelantado cinco minutos.
I'm not done with Tom.,No he acabado con Tom.
Are these your skis?,¿Estos son tus esquíes?
Tom was lucky that he didn't get killed.,Tom tuvo suerte de que no lo mataran.
I regret having said such a thing to my teacher.,Me arrepiento de haberle dicho eso al profesor.
Tom's problem is that he lives in his own bubble.,El problema de Tom es que él vive en su propia burbuja.
How can Tom not understand that?,¿Cómo puede no entenderlo Tom?
You're very alert.,Tú estás muy alerta.
You're disturbing the neighbors.,Estás molestando a los vecinos.
Tom's not hungry.,Tomás no tiene hambre.
When was the last time you stayed at a hotel?,¿Cuándo fue la última vez que te quedaste en un hotel?
I'm doing my homework.,Estoy haciendo los deberes.
Antique carpets are especially valuable.,Las alfombras antiguas son especialmente valiosas.
He emptied his glass.,Él vació su vaso.
Those houses are 500 years old.,Esas casas tienen quinientos años.
A guard is outside.,Hay un guardia afuera.
Take it upstairs.,Llévalo arriba.
Can you please stop singing?,"¿Puede parar de cantar, por favor?"
Her house is surrounded by a white fence.,Su casa está rodeada por una valla blanca.
Put the child to sleep.,Duerme al niño.
"If you treat him fairly, he will be fair with you.",Si lo tratas justamente él será justo contigo.
Tom is hard to handle.,Tom es difícil de tratar.
"You lied to me, didn't you?","Me mentiste, ¿no?"
Competition makes you better.,La competencia te hace mejor.
I can't change who I am or what I've done.,No puedo cambiar lo que soy o lo que hice.
"She had, I thought, no right to do that.",Yo pensé que ella no tenía derecho a hacer eso.
Tom wanted to go to Boston with us.,Tom quería ir a Boston con nosotros.
How lovely!,¡Es una preciosidad!
He said he was going to take a risk.,Él dijo que tomará el riesgo.
Many children don't like school.,A muchos niños no les gusta la escuela.
A smart dog never barks for no reason.,Un perro inteligente nunca ladra sin razón.
The drain is clogged again.,El desaguadero está atascado de nuevo.
I won't tell you.,No te lo diré.
I had the porter carry my suitcase.,El mozo me llevó la maleta.
He doesn't understand you.,Él no te entiende.
May I take a rest for a while?,¿Podría descansar un ratito?
We need some more firewood.,Necesitamos un poco más de leña.
Tom didn't know how much he had drunk.,Tom no sabía cuánto había tomado.
We had no choice except to put up with it.,No nos quedó más remedio que soportarlo.
Wait for us here.,Tú espéranos aquí.
Hand the knife to me.,Pásame el cuchillo.
Why is my Internet connection so slow?,¿Por qué mi conexión a Internet es tan lenta?
Tom made me cookies.,Tom me hizo galletas.
Everybody's concerned about you.,Todos están preocupados por ti.
"Tom walked down the path, whistling a happy tune.","Tom caminó por el sendero, silbando una melodía alegre."
I had to postpone my appointment.,Tuve que posponer mi cita.
I finally found a use for this old thing.,Finalmente le hallé un uso a este vejestorio.
"This butter is domestic, but it is in no way inferior to foreign butter.","Esta mantequilla es doméstica, pero de ninguna forma es inferior a la mantequilla extranjera."
Don't worry.,No te preocupes.
Fatigue showed on her face.,Su cara mostraba fatiga.
My name's Tom.,Mi nombre es Tom.
Are we good to go?,¿Estamos listos?
Neither of his sons wanted to take over the business.,Ninguno de sus hijos quería encargarse del negocio.
"You aren't really going to join the army, are you?","Tú no vas a alistarte en el ejército, ¿verdad?"
The movie was more interesting than I expected.,La película fue más interesante de lo que yo esperaba.
You've given me your cold.,Me has pegado tu resfriado.
Tom did his best to avoid making eye contact with Mary.,Tom hizo lo que pudo para evitar el contacto visual con Mary.
It's getting dark. You'd better go home.,Está oscureciendo. Es mejor que te vayas a casa.
I put on my pajamas.,Me puse el pijama.
I'm busy with homework.,Estoy ocupado con mi tarea.
Tom looked very happy.,Tom parecía muy feliz.
The data is promising.,El dato es alentador.
Let's talk seriously.,Hablemos con formalidad.
We had our house painted.,Hicimos pintar nuestra casa.
It's just what I wanted.,Es justo lo que quería.
Our train arrived on time.,Nuestro tren llegó puntual.
I want to talk to Tom now.,Quiero hablar con Tom ahora.
I should tell you something.,Debería decirte algo.
Tom's mom caught the flu.,La mamá de Tom se agarró la gripe.
You can't blame a guy for trying.,No puedes culpar a alguien por intentar.
"He endeavored to make his wife happy, but in vain.","Se esforzó por hacer feliz a su mujer, pero fue en vano."
What are you punishing them for?,¿Por qué les estás castigando?
There's a lot of room in here.,Hay mucho sitio aquí dentro.
You can't ignore Tom.,No podés ignorar a Tom.
"In 1958, Brazil won its first World Cup victory.","En 1958, Brasil ganó su primera Copa del Mundo."
We had no choice but to leave the matter to him.,No tuvimos más alternativa que dejarle el asunto a él.
It looks like Tom has lost a little weight.,Parece que Tom ha perdido un poco de peso.
I need a place to sit.,Necesito un lugar donde sentarme.
The doctor decided to operate at once.,El doctor decidió operar enseguida.
Tom and Mary live under the same roof.,Tom y Mary viven bajo el mismo techo.
Tom seems to enjoy watching horror movies.,A Tom parece gustarle ver películas de miedo.
When was the last time you visited Australia?,¿Cuándo fue la última vez que fuiste a Australia?
There weren't a lot of people in the pool.,No había mucha gente en la piscina.
It's just your imagination.,Es sólo tu imaginación.
We'll never get through this.,Nunca lo conseguiremos.
I'll be back at seven o'clock.,Volveré a las siete.
What would you like to do in the future?,¿Qué te gustaría hacer en el futuro?
He was a brave soldier.,Él fue un soldado valiente.
I was totally dumbfounded.,Estaba completamente consternado.
We're not giving up.,No nos vamos a rendir.
She invited us to her birthday party.,Ella nos invitó a su fiesta de cumpleaños.
Go get help.,Ve a pedir ayuda.
I wish you'd stop making fun of me.,Me gustaría que dejaras de burlarte de mí.
The students stood up one by one and introduced themselves.,Los estudiantes se levantaron uno por uno y se presentaron.
We're sorry we weren't able to help.,Lamentamos no poder ayudarte.
Look at that building.,Mira aquel edificio.
It looks fine.,Parece correcto.
She will be happy to know you want to see her.,Ella se alegrará de saber que quieres verla.
She doesn't live here any more.,Ella ya no vive aquí.
The town fell into ruin.,La ciudad quedó en las ruinas.
We'll discuss the problem with them.,Discutiremos el problema con ellos.
I have a lot of work to do tomorrow.,Tengo mucho trabajo que hacer mañana.
I guess now you know why.,Imagino que ya sabe por qué.
He plays tennis very well.,Él juega muy bien al tenis.
He has just bought a used car.,Acaba de comprarse un coche de segunda mano.
It doesn't seem fair.,No parece justo.
Tom doesn't have much energy today.,Tom no tiene mucha energía hoy.
Tom said he's feeling fine.,Tom dijo que se está sintiendo bien.
I'm going to buy a new saxophone.,Voy a comprarme un saxofón nuevo.
The army had to intervene.,El ejército tuvo que intervenir.
Tell me whose hat this is.,Dime de quién es este sombrero.
Give me back my bag.,Devuélveme mi bolso.
Tom says hello.,"Tom dice ""hola""."
The hours ticked by.,Las horas pasaban.
I'm able to swim.,Sé nadar.
He left an hour ago.,Se fue hace una hora.
They weren't able to discover any secrets.,Fueron incapaces de revelar algún secreto.
What do you have on for tomorrow night?,¿Que planes tienes mañana en la noche?
He won by a small number of votes.,Él ganó por un pequeño número de votos.
Watch carefully.,Mirá cuidadosamente.
They are older than Tom.,Ellas son mayores que Tom.
I'll sleep here.,Dormiré aquí.
You can't help Tom.,No lo pueden ayudar a Tomás.
You were totally right.,Tenías toda la razón.
The French Revolution took place in 1789.,La revolución francesa tuvo lugar en 1789.
"In his opinion, the plan is far from perfect.","En su opinión, el plan está lejos de ser ideal."
Someone's coming.,Viene alguno.
Our baby is learning to speak.,Nuestro bebé está aprendiendo a hablar.
Tom didn't have to give me anything.,Tom no me tenía que dar nada.
I can't go on Saturday.,No puedo ir el sábado.
Your answer is far from satisfactory.,Tu respuesta está lejos de ser satisfactoria.
We ate eggs.,Comimos huevos.
Tom couldn't believe what Mary said.,Tom no podía creer lo que decía Mary.
Compulsory military service exists in Turkey.,El servicio militar obligatorio existe en Turquía.
Let me have a taste.,Déjame probarlo.
Oxygen from the air dissolves in water.,El oxígeno del aire se desvanece en el agua.
I can drop you off at the airport tonight.,Puedo dejarte en el aeropuerto esta noche.
I have to repair the refrigerator.,Tengo que arreglar el frigorífico.
I'm at work now.,Ahora estoy en el trabajo.
He was subjected to torture by the police.,Él fue sometido a torturas por la Policía.
He got angry with his brother.,Se enfadó con su hermano.
My house is on the outskirts of town.,Mi casa está a las afueras de la ciudad.
Is it true that Tom did that?,¿Es verdad que Tom hizo eso?
"During the test, she felt very sick, so she got a pass to go to the toilet.","Durante el examen, ella se sintió muy enferma, por eso tuvo que ir al servicio."
Both of them are busy.,Ambos están ocupados.
She hired him.,Ella le contrató.
Tom hired Mary to do the job.,Tom contrató a Mary para que hiciera el trabajo.
I just wish I could figure out what to give Tom for Christmas.,Sólo desearía saber qué puedo regalar a Tom por Navidad.
Pus has formed in the wound.,Se ha formado pus en la herida.
I didn't want to eat leftovers.,No quería comer sobras.
His curiosity prompted him to ask questions.,Su curiosidad lo condujo a hacer preguntas.
Tom discovered that he had run out of money.,Tom descubrió que se había quedado sin dinero.
Tom started driving.,Tom empezó a conducir.
That's simple.,Es simple.
The bad weather prevented me from going fishing.,El mal clima me impidió ir a pescar.
I don't know how many cousins Tom has.,Ni idea de los primos que puede tener Tom.
"Will you have some more coffee? ""No, thanks. I've had enough.""","¿Se va a servir un poco más de café? ""No gracias. Ya he bebido suficiente."""
Your office is nicer than mine.,Tu despacho es más bonito que el mío.
Can you gather all of the papers together?,¿Puedes juntar todos los papeles?
I don't like movies.,No me gusta ver películas.
I need some paper.,Necesito papel.
I want to go to bed.,Quiero irme a la cama.
I laughed in spite of myself.,Me reí a pesar de mi.
I always drive under the speed limit.,Siempre conduzco por debajo de la velocidad permitida.
I feel something.,Siento algo.
What do you mean?,¿Qué quieres decir?
I think it's time for me to split some more firewood.,Creo que es hora de que pique un poco más de leña.
I was at the hospital a couple of days ago.,Estuve en el hospital hace unos días.
You're great.,Eres estupendo.
Tom came just before dinner.,Tom vino justo antes de la cena.
"As far as I know, he is an honest man.",Lo más que sé es que es un hombre honesto.
Tom and his friends often play cards until after midnight.,Tom y sus amigos suelen jugar cartas hasta pasada la medianoche.
I know why you want it.,Yo sé por qué lo quieres.
Tom badly needed money.,Tom necesitaba dinero a toda costa.
I've looked all over but I can't find my keys anywhere.,He mirado por todas partes pero no puedo encontrar las llaves en ningún sitio.
Where is your brother?,¿Dónde está vuestro hermano?
He took me by the hand.,Él me tomó de la mano.
Tom doesn't seem to understand.,Tom parece no entender.
He looked left and right.,Miró a izquierda y derecha.
Tom's abrupt manner puts a lot of people off.,La brusquedad de Tom le choca a muchas personas.
She has a slight lisp.,Ella tiene un ligero ceceo.
It won't stop bleeding.,No para de sangrar.
I don't know where Tom has gone.,No sé hacia dónde se fue Tom.
Is the meeting today or tomorrow?,¿Es la reunión hoy o mañana?
I can't see without glasses.,No veo sin gafas.
Try that on.,Pruébate ese.
The car is very fast.,El auto es muy rápido.
Now I have three left.,Ahora me quedan tres.
I can hear Tom snoring in the next room.,Puedo oír a Tom roncar en la habitación de al lado.
The 1960s were years of protest and reform.,Los sesentas fueron años de protestas y reformas.
Tom hurt his knee when he fell down.,Tom se hirió la rodilla cuando se cayó.
I'm looking for a native speaker who could help me correct this essay.,Estoy buscando a un hablante nativo que me pueda ayudar a corregir este ensayo.
Tom felt the stiffness in his joints as he stood up after sitting in the same position for a long time.,Tom sintió la rigidez en sus articulaciones cuando se levantó después de estar sentado en la misma posición durante largo tiempo.
Look in there.,Mira ahí.
Two thousand people fit into this hall.,Esta sala puede albergar a dos mil personas.
Let's wait here until she comes back.,Esperemos aquí hasta que ella vuelva.
I still have questions I want to ask you.,Todavía tengo preguntas que quiero hacerte.
I think I'll sleep well tonight.,Creo que hoy voy a dormir bien.
Can you drive a car?,¿Puedes conducir un auto?
I'm sorry that I can't be of more help.,Lamento no poder ayudar más.
You were kind to help me.,Fuiste amable al ayudarme.
I have a nap almost every day.,Me echo una siesta casi todos los días.
That ended better than I expected.,Eso terminó mejor de lo que esperaba.
I don't have a favorite song.,No tengo ninguna canción favorita.
We're going.,Nos vamos.
You're always around.,Siempre andas alrededor.
I've won first prize!,He ganado el primer premio.
That's my feeling as well.,Ésa es también mi impresión.
Choose carefully.,Elige con prudencia.
Let's roast the chestnuts.,Vamos a asar las castañas.
I don't want this news to be made public yet.,No quiero que esta noticia se haga pública todavía.
Tom showed me how to do it.,Tom me enseñó cómo hacerlo.
I thought you had understood me.,Pensé que me habías entendido.
I need a place to crash.,Necesito un lugar para quedarme.
I'm ready for anything.,Estoy preparada para todo.
Fat people generally sweat a lot.,La gente gorda en general suda mucho.
She burst into the room.,Ella irrumpió en la habitación.
I forget who said it.,Olvidé quién lo dijo.
He capitalized on every opportunity to learn from the great scholar.,Él aprovechó todas las oportunidades para aprender del gran erudito.
Isn't that terrific?,"Increíble, ¿a que sí?"
I am not used to drinking coffee without sugar.,No estoy acostumbrado a tomar el café sin azúcar.
"Tom started to say something, but Mary interrupted him.","Tom empezó a decir algo, pero María lo interrumpió."
Could you please put some more wood on the fire?,"¿Podrías, por favor, poner más leña en el fuego?"
I don't really enjoy being here.,La verdad es que no me gusta estar aquí.
Stop here.,Parad aquí.
There are a lot of abandoned houses in the neighborhood.,Hay muchas casas abandonadas en el vecindario.
Most people nowadays don't understand friendship.,La mayor parte de la gente hoy en día no entiende la amistad.
I want to talk to your manager.,Quiero hablar con el gerente.
Tom and Mary are married to each other.,Tom y María son esposos.
I don't understand your question.,No entiendo vuestra pregunta.
Jackson could not trust them.,Jackson no podía confiar en ellos.
Tom said he doesn't eat meat.,Tom dijo que no come carne.
It is there.,Está ahí.
Tom is forgetful.,Tom es olvidadizo.
He's stupid and arrogant.,Es estúpido y arrogante.
Tom isn't as intelligent as you.,Tomás no es tan inteligente como tú.
Why didn't you show up at the party last night?,¿Por qué no fuiste a la fiesta anoche?
I need a new bicycle.,Necesito una bicicleta nueva.
Do you want something to drink?,¿Quieres algo para beber?
I wish I had known his name then.,Desearía haber sabido su nombre entonces.
I don't yet know what we'll do on Monday.,Aún no sé lo que haremos el lunes.
He earns over 500 dollars a month at that job.,Él gana más de 500 dólares al mes con ese trabajo.
Tom can't parallel park.,Tom no sabe aparcar en línea.
"If you concentrate all your energies on the study of English, you will master the language.","Si concentras todas tus energías en el estudio del inglés, dominarás el idioma."
Tom doesn't speak any French.,Tom no habla nada de francés.
He finally arrived.,Él llegó al fin.
Even the fastest horse only has four legs.,Incluso el caballo más rápido tiene cuatro patas.
You did not come to school yesterday.,Ayer no viniste a la escuela.
Excuse me.,Discúlpeme.
It's so nice to stay at home.,Es tan agradable quedarse en casa.
Why do you have to go?,¿Por qué te tienes que ir?
Have you finished breakfast yet?,¿Ya has acabado de desayunar?
There are many people trying to buy houses.,Hay mucha gente tratando de comprar casas.
I thought that you were a man of honor.,Pensé que eras un hombre de honor.
"Excuse me, I think you're sitting in my seat.","Disculpe, creo que está sentado en mi asiento."
Are you going to listen to me?,¿Me vas a escuchar?
We look up to him.,Lo admiramos.
Either you or I am right.,"O tienes razón tú, o tengo razón yo."
You're either with me or you're against me.,O estás conmigo o estás contra mí.
"An eye for an eye, a tooth for a tooth.","Ojo por ojo, diente por diente."
We eat together.,Comemos juntos.
May I turn on the television?,¿Puedo prender el televisor?
Do you like this drawing?,¿Te gusta este dibujo?
